作者,標題,日期
 8/08,JerryChungYC,[情報] 8/8 UID 留言派獎 虛空元素 x 5 + 50 萬
 8/08,sakurajoker7,[敬神] 帥帥旅團團長 0石通關紀錄
 8/08,JerryChungYC,[情報] 【Madhead勤送禮之送你一抽】(名額10個)
 8/09,maxliao,[閒聊] [本週提醒] 8/9前要做的事
 8/09,KsisTea,[閒聊] 有人覺得最近禮包莫名其妙嗎?
 8/09,weiweilu,[敬神] 鋼鍊無庸子抖M九封龍刻零石
 8/09,three88720,[問題] 神魔針對120hz的手機是不是沒優化好
 8/09,kevio,[閒聊] 還在餵豬嗎?此版本練技怪使用
 8/10,kadok,[問題] 本次討伐戰尾刀王是？
 8/10,JerryChungYC,[情報] 19.23 開放更新
 8/10,pc026276,[閒聊] 現在討伐卡是在比廢的嗎?
 6/09,maxliao,[19.1] ToS板規暨板規建議 + 文章推薦/檢舉區
 8/03,maxliao,[19.2] 抽卡置底集中串 (石抽友抽等)
 8/03,maxliao,[19.2] 每週慶祝活動 + 置底閒聊區 Week 3
 8/06,JerryChungYC,[情報] 「傲慢之罪．艾斯卡諾」下週登場 討伐戰
