中文名稱,英文名稱,期待度,滿意度,總分,上映時間
拉麵狂,Ramen Heads,69%,4.1,★★★★☆,2020-08-07
原本以為只是手機掉了2：被囚禁的殺人魔,Stolen Identity 2,91%,3.6,★★★★☆,2020-08-07
怪胎,i WEiR DO,83%,4.0,★★★★☆,2020-08-07
哈囉少女,Girl’s Revenge,76%,4.0,★★★★☆,2020-08-07
陰眼,The Eyes,93%,3.9,★★★★★,2020-08-07
家靈,Relic,80%,3.3,★★★☆☆,2020-08-07
6號鬼病床,Bed Number 6,96%,2.9,★★★★☆,2020-08-07
心靈咖啡館的驅魔師,The Real Exorcist,93%,3.6,★★★★☆,2020-08-07
Perfect World ~和你在一起的奇蹟~,Perfect World,97%,4.2,★★★★★,2020-08-07
地下社會,Underground,80%,4.3,★★★★☆,2020-08-07
隱藏的畫家,Hidden Away,82%,4.1,★★★★☆,2020-08-07
巴亞拉魔幻冒險,Bayala - A Magical Adventure,83%,2.5,★★★☆☆,2020-08-07
逆者,The Road Less Traveled,100%,3.4,★★★★☆,2020-08-07
追殺艾娃,Ava,95%,3.7,★★★★☆,2020-08-05
記憶拼圖：20週年數位修復,Memento,87%,4.5,★★★★★,2020-08-05
日間演奏會散場時,Matinee,82%,3.9,★★★★☆,2020-07-31
派遣死神事件簿,Shinigami: The Death Handler,86%,4.2,★★★★★,2020-07-31
失眠的北風吹來愛情,The Space Between The Lines,100%,3.5,★★★★★,2020-07-31
守靈魘,The Vigil,96%,4.0,★★★★★,2020-07-31
北海小英雄,Vic Viking,99%,4.0,★★★★★,2020-07-31
ID4星際終結者,Independence Day,85%,4.2,★★★★☆,2020-07-31
我們仍未知道那天所看見的花名 劇場版,Anohana -The Flower We Saw That Day The Movie,100%,4.4,★★★★★,2020-07-31
屍人莊殺人事件,Murder at the House of Death,98%,4.2,★★★★★,2020-07-31
愛回來的那7天,7 Days,96%,4.3,★★★★★,2020-07-31
雙面追緝,Me and Me,100%,3.4,★★★★☆,2020-07-31
阿紫,The Good Daughter,100%,3.9,★★★★★,2020-07-31
魔鬼剋星2(1989),Ghostbusters II,80%,4.0,★★★★☆,2020-07-31
超危險駕駛,Unhinged,91%,3.8,★★★★☆,2020-07-29
鋼鐵雨：深潛行動,Steel Rain2: Summit,99%,4.4,★★★★★,2020-07-29
魔王的女兒,"Ireesha, The Daughter of Elf-king",46%,2.8,★☆☆☆☆,2020-07-24
致命窺弒,The Rental,98%,3.7,★★★★★,2020-07-24
屍人診所,Yummy,88%,3.8,★★★★☆,2020-07-24
星之彩,Color Out of Space,89%,4.0,★★★★☆,2020-07-24
戀夏時光,Summerland,67%,3.8,★★★☆☆,2020-07-24
