名稱,縮寫,訂閱數,創立日期,本月文章數
西斯,sex,407515,2020/2/4,3418
感情,relationship,341285,2020/2/4,6893
穿搭,dressup,280441,2020/2/4,1423
美妝,makeup,256635,2020/2/4,2549
星座,horoscopes,220856,2020/2/4,1683
有趣,funny,198902,2020/2/4,1257
美食,food,191605,2020/2/4,1208
女孩,girl,173320,2020/2/4,2027
心情,mood,151048,2020/2/4,6558
理財,money,145124,2020/2/4,889
旅遊,travel,131058,2020/2/4,648
健身,fitness,128343,2020/2/4,604
梗圖,meme,127938,2020/2/4,1391
寵物,pet,120465,2020/2/4,989
Netflix,netflix,118229,2020/2/4,111
省錢,savemoney,117981,2020/2/4,560
時事,trending,109513,2020/2/4,3125
笑話,joke,107339,2020/2/4,82
電影,movie,99095,2020/2/4,265
彩虹,rainbow,95367,2020/2/4,1696
減肥,weight_loss,95273,2020/2/4,215
工作,job,94150,2020/2/4,3004
網路購物,buyonline,92818,2020/2/4,745
靈異,marvel,92281,2020/2/4,604
YouTuber,youtuber,91329,2020/2/4,327
烹飪,cooking,91244,2020/2/4,209
閒聊,talk,88506,2020/2/4,3513
美髮,hairsalon,86838,2020/2/4,543
手作,handicrafts,84418,2020/2/4,259
居家生活,house,83687,2020/2/4,412
遊戲,game,79023,2020/2/4,1067
攝影,photography,74716,2020/2/4,490
語言,language,70169,2020/2/4,374
戲劇綜藝,tvepisode,69831,2020/2/4,561
動漫,acg,68996,2020/2/4,757
Apple,apple,68401,2020/2/4,541
西斯文學,sex_literature,67343,2020/2/4,94
信用卡,creditcard,65501,2020/2/4,182
考試,exam,65118,2020/2/4,2658
追星,entertainer,64529,2020/2/4,1131
歐美影集,ea_series,64083,2020/2/4,32
汽機車,vehicle,63341,2020/2/4,1221
精品,boutique,63065,2020/2/4,263
美甲,manicure,62385,2020/2/4,405
3C,3c,59404,2020/2/4,1398
打工職缺,parttime,58661,2020/2/4,255
音樂,music,56565,2020/2/4,431
塔羅,tarot,55920,2020/2/4,297
色情漫畫,ero_manga,54642,2020/2/4,94
香氛,fragrance,51893,2020/2/4,146
留學,studyabroad,50390,2020/2/4,300
表特,beauty,49699,2020/3/10,111
曬貓,show_cats,49263,2020/2/4,316
武漢肺炎,2019_ncov,47168,2020/2/4,169
書籍,book,45010,2020/2/4,129
隱形眼鏡,contact_lens,43479,2020/2/4,149
金融,financial,41796,2020/2/4,103
球鞋,sneakers,40433,2020/2/4,180
醫美,facelift,38336,2020/2/4,287
新生季,freshman,38261,2020/2/4,1632
動物森友會,animal_crossing,37040,2020/3/31,7344
品酒,alcohol,35885,2020/2/4,48
日劇,jp_drama,35857,2020/2/4,24
航空,aviation,35290,2020/2/4,40
男同志西斯,gaysex,34999,2020/2/4,295
實習職缺,intern,34523,2020/2/4,48
女孩西斯,female_sex,34507,2020/5/14,81
結婚,marriage,34432,2020/2/4,175
設計,design,33109,2020/2/4,82
手搖,boba,32946,2020/2/4,43
男孩,boy,32871,2020/2/4,136
牙齒矯正,orthodontics,32810,2020/2/4,384
小說,novel,32623,2020/2/4,244
插畫,illustration,32249,2020/2/4,260
護理,nursing,31887,2020/2/4,412
零食,snack,31407,2020/2/4,39
咖啡,coffee,31193,2020/2/4,22
App,app,31070,2020/2/4,185
公職,gov_employee,30299,2020/2/4,335
研究所,graduate_school,30248,2020/2/4,498
韓綜,kr_tvshow,30176,2020/2/4,3
超商,cvs,30141,2020/2/4,71
重機,heavy_motorcycle,29630,2020/2/4,108
籃球,basketball,29569,2020/2/4,66
文具,stationery,29335,2020/2/4,31
獨立音樂,indiemusic,28889,2020/2/4,51
運動,sport,28514,2020/2/4,132
BL,boyslove,27135,2020/2/4,365
台中,taichung,26207,2020/2/4,151
BDSM,bdsm,25905,2020/2/4,112
韓星,korea_star,25530,2020/2/4,53
日本生活,japan_life,24964,2020/2/4,43
軟體工程師,softwareengineer,24137,2020/2/4,95
BTS,bts,23661,2020/2/4,64
蠟筆小新,shin_chan,23391,2020/2/4,29
Les,lesbian,22929,2020/2/4,126
行動支付,mobile_payment,22870,2020/2/4,24
寶可夢,pokemon,21993,2020/2/4,121
手寫,caligraphy,21825,2020/2/4,79
廢文,whysoserious,21801,2020/2/4,41770
求職,job_search,21712,2020/4/20,151
無痕生活,ecolife,21627,2020/2/4,37
速食,fastfood,21148,2020/2/4,24
漫威,marvel_studios,19450,2020/2/4,8
音樂活動,musicevent,18805,2020/2/4,83
詩文,literature,18689,2020/2/4,242
嘻哈,hiphop,18687,2020/2/4,67
醫事人員,med,18506,2020/2/4,87
聖誕CiaoCiao,merryxmas,18321,2016/5/17,1
課程,course,17684,2020/2/4,180
迪士尼,disney,17560,2020/2/4,12
生理用品,menstrual,17494,2020/2/4,25
英雄聯盟,lol,17392,2020/2/4,352
量販店,hypermarket,17009,2020/2/4,6
玩具,toy,16681,2020/2/4,89
軍旅,military,16486,2020/2/4,258
臺灣大學,ntu,16181,2016/5/19,588
淡江大學,tku,16119,2016/5/19,479
高雄,kaohsiung,15727,2020/2/4,83
成功大學,ncku,15633,2016/5/19,573
輔仁大學,fju,15498,2016/5/19,345
逢甲大學,fcu,15478,2016/5/19,371
棒球,baseball,15389,2020/2/4,102
