日期,標題,網址
2020/08/28,終於要量產了！小米宣布2021年推出螢幕下鏡頭手機,https://www.ettoday.net//news/20200828/1795801.htm
2020/08/28,最多可用8小時　LG將推口罩型空氣清淨機戴著走,https://www.ettoday.net//news/20200828/1795660.htm
2020/08/28,「怪物級」手機來了！　三星發布最強中階機 Galaxy M51 預告片,https://www.ettoday.net//news/20200828/1795535.htm
2020/08/28,iOS 設備未來可能沒有Google Search！　蘋果傳計畫開發自家搜尋引擎,https://www.ettoday.net//news/20200828/1795579.htm
2020/08/28,亞馬遜首推「Halo」智能手環！2大超狂功能曝光　挑戰Apple Watch地位,https://www.ettoday.net//news/20200828/1795578.htm
2020/08/28,賴祥蔚∕川普為何抵制抖音、微信？當手機開放「位置」「麥克風」權限　衍生國安問題,https://www.ettoday.net//news/20200828/1795464.htm
2020/08/28,iPad Air 4 說明書流出！　洩漏超大螢幕與側邊 Touch ID 設計,https://www.ettoday.net//news/20200828/1795451.htm
2020/08/28,豆腐頭、EarPods確定掰了？ iPhone12盒配件曝光　郭明錤：有助AirPods銷量,https://www.ettoday.net//news/20200828/1795461.htm
2020/08/28,淘寶認定陸資》林忠正∕「淘寶台灣」政經脈絡　凸顯阿里巴巴全球化的困境,https://www.ettoday.net//news/20200828/1795155.htm
2020/08/27,宏AI辨識首推四大智能應用　攜手「歐加智能」推五大場域應用,https://www.ettoday.net//news/20200827/1795170.htm
2020/08/27,iOS 14 的8大隱藏新功能一次看懂！　更炫的新輔助手勢「Back Tap」登場,https://www.ettoday.net//news/20200827/1794551.htm
2020/08/27,Nvidia Shield 更新至第25個版本　4K HDR功能更強大,https://www.ettoday.net//news/20200827/1794833.htm
2020/08/27,寵妻魔人爭霸戰！尼克只對1題慘變一日清潔工　用LG A9K系列濕拖吸塵器輕鬆達成使命,https://www.ettoday.net//news/20200827/1789531.htm
2020/08/27,愛喝飲料又怕胖？氣泡水機8780元→2490元　助妳瘦身又好消化,https://www.ettoday.net//news/20200827/1794917.htm
