公司名稱,地區,資本額,公司人數,招募人數
中華電信股份有限公司,台北市中正區,120000000000,22000,2
NVIDIA_香港商輝達香港控股有限公司台灣分公司,台北市內湖區,73000000000,11000,18
台灣之星電信股份有限公司,台北市內湖區,54565720000,暫不提供,169
II-VI Taiwan_台灣貳陸有限公司,台北市內湖區,45000000000,10000,0
仁寶電腦工業股份有限公司,台北市內湖區,44100000000,6500,395
亞太電信股份有限公司,台北市內湖區,4298230000,暫不提供,200
台灣固網股份有限公司,台北市大安區,40000000000,360,14
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,台北市內湖區,40000000000,83000,234
華碩電腦股份有限公司,台北市北投區,37000000000,暫不提供,0
台灣大哥大股份有限公司,台北市信義區,34200000000,3500,63
遠傳電信股份有限公司,台北市內湖區,32500000000,6300,60
瀚宇彩晶股份有限公司,台北市內湖區,32339330000,2800,17
Inventec_英業達股份有限公司,台北市士林區,30000000000,4000,236
光寶科技股份有限公司,台北市內湖區,235860000,43000,161
大同股份有限公司,台北市中山區,23390000000,3300,89
台灣日電產股份有限公司,台北市中正區,23000000000,160000,3
和碩集團_和碩聯合科技股份有限公司,台北市北投區,22000000000,6000,291
大聯大投資控股股份有限公司,台北市內湖區,16557090000,暫不提供,5
"SILICON LABORATORIES ASIA PACIFIC, LIMITED_香港商芯科實驗室亞太有限公司台灣分公司",台北市中山區,15000000000,1500,0
"新加坡商凱捷管理顧問股份有限公司台灣分公司_Capgemini Asia Pacific Pte. Ltd., Taiwan Branch",台北市信義區,10600000000,270000,0
新加坡商博思達有限公司台灣分公司(An affiliated of Softbank group),台北市信義區,10500000000,暫不提供,0
Trend Micro_趨勢科技股份有限公司,台北市大安區,7500000000,5200,26
D-Link_友訊科技股份有限公司,台北市內湖區,6500000000,750,85
Advantech_研華股份有限公司,台北市內湖區,6318530000,8000,263
遠鼎股份有限公司,台北市大安區,6000000000,350,0
神基科技股份有限公司,台北市南港區,5800000000,680,84
"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",台北市信義區,5700000000,900,37
精英電腦股份有限公司,台北市內湖區,5500000000,1000,88
友尚股份有限公司,台北市內湖區,5120740000,700,9
敦南科技股份有限公司,台北市內湖區,5000000000,3500,15
中華電信股份有限公司,台北市中正區,120000000000,22000,2
NVIDIA_香港商輝達香港控股有限公司台灣分公司,台北市內湖區,73000000000,11000,18
台灣之星電信股份有限公司,台北市內湖區,54565720000,暫不提供,169
II-VI Taiwan_台灣貳陸有限公司,台北市內湖區,45000000000,10000,0
仁寶電腦工業股份有限公司,台北市內湖區,44100000000,6500,395
亞太電信股份有限公司,台北市內湖區,4298230000,暫不提供,200
台灣固網股份有限公司,台北市大安區,40000000000,360,14
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,台北市內湖區,40000000000,83000,234
華碩電腦股份有限公司,台北市北投區,37000000000,暫不提供,0
台灣大哥大股份有限公司,台北市信義區,34200000000,3500,63
遠傳電信股份有限公司,台北市內湖區,32500000000,6300,60
瀚宇彩晶股份有限公司,台北市內湖區,32339330000,2800,17
Inventec_英業達股份有限公司,台北市士林區,30000000000,4000,236
光寶科技股份有限公司,台北市內湖區,235860000,43000,161
大同股份有限公司,台北市中山區,23390000000,3300,89
台灣日電產股份有限公司,台北市中正區,23000000000,160000,3
和碩集團_和碩聯合科技股份有限公司,台北市北投區,22000000000,6000,291
大聯大投資控股股份有限公司,台北市內湖區,16557090000,暫不提供,5
"SILICON LABORATORIES ASIA PACIFIC, LIMITED_香港商芯科實驗室亞太有限公司台灣分公司",台北市中山區,15000000000,1500,0
"新加坡商凱捷管理顧問股份有限公司台灣分公司_Capgemini Asia Pacific Pte. Ltd., Taiwan Branch",台北市信義區,10600000000,270000,0
新加坡商博思達有限公司台灣分公司(An affiliated of Softbank group),台北市信義區,10500000000,暫不提供,0
Trend Micro_趨勢科技股份有限公司,台北市大安區,7500000000,5200,26
D-Link_友訊科技股份有限公司,台北市內湖區,6500000000,750,85
Advantech_研華股份有限公司,台北市內湖區,6318530000,8000,263
遠鼎股份有限公司,台北市大安區,6000000000,350,0
神基科技股份有限公司,台北市南港區,5800000000,680,84
"Synopsys Taiwan Co., Ltd._台灣新思科技股份有限公司",台北市信義區,5700000000,900,37
精英電腦股份有限公司,台北市內湖區,5500000000,1000,88
友尚股份有限公司,台北市內湖區,5120740000,700,9
敦南科技股份有限公司,台北市內湖區,5000000000,3500,15
晟銘電子科技股份有限公司,台北市內湖區,2000000000,暫不提供,1
倫飛電腦實業股份有限公司,台北市內湖區,1980000000,200,6
業強科技股份有限公司,台北市南港區,19250000,3500,5
三商電腦股份有限公司,台北市信義區,1900000000,700,19
訊舟科技股份有限公司,台北市內湖區,1900000000,1500,35
英屬開曼群島商泰鼎國際事業股份有限公司台灣分公司,台北市松山區,1899000000,6000,4
聚碩科技股份有限公司,台北市內湖區,1883570000,402,43
樂陞科技股份有限公司,台北市北投區,1839000000,暫不提供,0
豐藝電子股份有限公司,台北市內湖區,1790000000,380,10
遊戲橘子數位科技股份有限公司,台北市內湖區,1754270000,1000,66
全科科技股份有限公司,台北市內湖區,1700000000,230,6
大眾電腦股份有限公司,台北市內湖區,1700000000,250,17
帆宣系統科技股份有限公司,台北市南港區,1639080000,700,36
寶島陽光再生能源股份有限公司,台北市大安區,1626460000,21,1
太欣半導體股份有限公司,台北市內湖區,1620000,100,3
維熹科技股份有限公司,台北市內湖區,1600000000,3700,12
禾伸堂企業股份有限公司,台北市內湖區,1579900000,1000,23
大台北寬頻網路股份有限公司,台北市松山區,1500000000,16,0
馬來西亞商綠馳通訊科技股份有限公司台灣分公司,台北市內湖區,1500000000,暫不提供,0
歐格電子工業股份有限公司,台北市內湖區,1500000000,1000,5
神通資訊科技股份有限公司,台北市內湖區,1500000000,1000,59
零壹科技股份有限公司_Zero One Tech,台北市內湖區,1500000000,250,13
華擎科技股份有限公司,台北市北投區,1500000000,290,26
關貿網路股份有限公司,台北市南港區,1500000000,560,57
系統電子工業股份有限公司,台北市內湖區,1500000000,500,12
淳安電子股份有限公司,台北市內湖區,1481030000,1200,14
飛捷科技股份有限公司,台北市內湖區,1460000000,480,12
良維科技股份有限公司,台北市中山區,1430000000,5000,5
崇越科技股份有限公司,台北市內湖區,1429410000,450,56
藍新科技股份有限公司,台北市南港區,1400000000,58,6
晟銘電子科技股份有限公司,台北市內湖區,2000000000,暫不提供,1
倫飛電腦實業股份有限公司,台北市內湖區,1980000000,200,6
業強科技股份有限公司,台北市南港區,19250000,3500,5
三商電腦股份有限公司,台北市信義區,1900000000,700,19
訊舟科技股份有限公司,台北市內湖區,1900000000,1500,35
